drug_name,num_prescriber,total_cost
PROMETHAZINE HCL,37660,1.170379052E7
DILTIAZEM HCL,27506,1.169672356E7
TRAMADOL HCL-ACETAMINOPHEN,17609,1.162198898E7
GATIFLOXACIN,1454,1.161239102E7
TESTOSTERONE CYPIONATE,10662,1.159515273E7
MEGESTROL ACETATE,15299,1.149839632E7
SOLIRIS,25,1.149159068E7
GLYBURIDE,23954,1.148190098E7
METAXALONE,2825,1.147903369E7
SEROQUEL,1243,1.147401097E7
AMLODIPINE-ATORVASTATIN,3114,1.138498879E7
REVATIO,181,1.133751993E7
CAYSTON,92,1.13082776E7
DESMOPRESSIN ACETATE,6120,1.127138491E7
BETHANECHOL CHLORIDE,6506,1.120793306E7
TROSPIUM CHLORIDE ER,2530,1.119129791E7
LIPITOR,2435,1.111416795E7
ASPIRIN-DIPYRIDAMOLE ER,2162,1.108119136E7
HYDROCORTISONE VALERATE,3023,1.104918284E7
EPLERENONE,4386,1.100770348E7
OXYMORPHONE HCL,1796,1.098316673E7
DICYCLOMINE HCL,43554,1.09270618E7
METHAZOLAMIDE,1314,1.089552712E7
JARDIANCE,1290,1.087984998E7
LUMIZYME,15,10829915
CLOZAPINE ODT,849,1.074110666E7
THEOPHYLLINE ANHYDROUS,15517,1.071850032E7
TRANSDERM-SCOP,3932,1.071154974E7
EXFORGE,2523,1.069939272E7
TRILEPTAL,802,1.062432116E7
DEPAKOTE,1363,1.061292984E7
CEVIMELINE HCL,2178,1.05983044E7
ROPINIROLE ER,2061,1.058528486E7
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,1.056240951E7
FELBAMATE,865,1.054226755E7
BOTOX,352,1.052658676E7
LIOTHYRONINE SODIUM,10321,1.045736704E7
CLOTRIMAZOLE,11931,1.03738772E7
LETROZOLE,9870,1.02424125E7
ATENOLOL-CHLORTHALIDONE,19951,1.015554978E7
NEVIRAPINE ER,721,1.011134113E7
ATIVAN,370,1.005412944E7
CEFTRIAXONE,6477,1.003098345E7
PROVENTIL HFA,6716,9986379.93
EXTAVIA,162,9958264.9
HUMALOG MIX 50-50,639,9949564.72
METHOCARBAMOL,22699,9848011.14
GLUCAGON EMERGENCY KIT,1723,9836047.71
PROGESTERONE,5461,9813922.79
PRAZOSIN HCL,13304,9763024.88
ZONEGRAN,398,9752809.39
FABRAZYME,27,9724536.31
VORICONAZOLE,439,9616504.02
MESTINON,508,9590514.5
TYKERB,143,9535463.81
HERCEPTIN,89,9530365.17
RELPAX,1385,9508842.3
SIROLIMUS,587,9502323.92
HALOBETASOL PROPIONATE,2311,9475401.36
EFFEXOR XR,1586,9472952.4
BUPRENORPHINE HCL,2379,9444745.13
CHENODAL,13,9441616.32
DICLOFENAC POTASSIUM,7106,9424506.47
PROTONIX,2062,9409874.4
PROCTOZONE-HC,6141,9372221.39
GAMMAPLEX,54,9306196.06
HETLIOZ,76,9261253.97
PULMICORT FLEXHALER,2306,9259380.11
TRAMADOL HCL ER,4046,9258356.35
OMEPRAZOLE-SODIUM BICARBONATE,993,9207379.78
FLUOCINOLONE ACETONIDE,2914,9184079.34
AMLODIPINE-VALSARTAN-HCTZ,2781,9166545.7
CUPRIMINE,62,9144743.45
DILT-XR,12418,9099644.06
FLOVENT DISKUS,2509,9097860.53
EMTRIVA,965,8969927.73
VELCADE,78,8951192.95
HYDROXYUREA,9381,8936953.1
PROPAFENONE HCL,8392,8933031.02
XOPENEX HFA,6637,8855235.04
DOXYCYCLINE MONOHYDRATE,14711,8833947.95
EDECRIN,547,8809530.49
CARBIDOPA,464,8769831.99
MYCOPHENOLIC ACID,640,8730932.78
RABEPRAZOLE SODIUM,6971,8703751.05
SPIRONOLACTONE-HCTZ,7260,8668595.7
ALCOHOL PREP PADS,8813,8656157.85
LENVIMA,33,8634824.56
CANDESARTAN CILEXETIL,4618,8595061.02
DIGITEK,10265,8559323.31
JANTOVEN,22737,8372208.55
PLAVIX,2453,8342362.79
KLOR-CON 10,15756,8330651.89
CLINDAMYCIN HCL,46586,8327661.68
ALFUZOSIN HCL ER,11264,8305448.19
METOCLOPRAMIDE HCL,37234,8263810.05
EXALGO,344,8214297.08
BICALUTAMIDE,8624,8188562.26
DUEXIS,200,8172530.12
TOBRADEX,1736,8136190.59
FLUPHENAZINE DECANOATE,2164,8103900.44
GLUCAGEN,1413,8089408.89
INVOKAMET,960,7992051.66
RISPERIDONE ODT,2339,7869018.03
LOVENOX,693,7861687.35
ZONISAMIDE,8449,7840363.18
TRETINOIN,2603,7817924.65
CEREZYME,22,7801002.56
MINOCYCLINE HCL,12212,7760595.14
ZIOPTAN,1863,7715188.56
TROKENDI XR,501,7700458.45
NISOLDIPINE,2056,7678536.88
TESTOSTERONE,1212,7668879.69
NORDITROPIN FLEXPRO,202,7622417.21
SILENOR,1242,7584294.77
CELLCEPT,341,7557015.28
NEOMYCIN-POLYMYXIN-DEXAMETH,11041,7540579.61
ESTRING,1267,7534716.93
XGEVA,196,7531298.27
ACIPHEX,953,7373908.03
RELISTOR,389,7330009.88
K-TAB ER,4704,7228025.09
EGRIFTA,102,7223718.79
ACARBOSE,4999,7181814.7
PHENYTOIN,8600,7121846.56
FELBATOL,222,7110910.9
PROVIGIL,268,7109829.95
MYSOLINE,184,7106784.58
IMIQUIMOD,2307,7098812.78
SULFASALAZINE,8957,7093678.6
DEXTROAMPHETAMINE SULFATE ER,1661,7076395.86
BEXAROTENE,17,7072228.48
IRBESARTAN-HYDROCHLOROTHIAZIDE,9094,7068677.17
NAGLAZYME,7,7056828.24
CLARITHROMYCIN,6715,7021393.45
BIDIL,1463,7017666.62
TANZEUM,882,6945342.3
LEXAPRO,1873,6934142.82
TEGRETOL,1897,6833785.49
BOOSTRIX TDAP,2220,6814930.51
NOVOFINE 32,6192,6812426.72
PERMETHRIN,3078,6809040.41
VALPROIC ACID,10639,6796850.07
GEODON,638,6796550.25
VIRACEPT,442,6792112.36
LEUKINE,31,6779668.39
TRELSTAR,92,6737759.6
SYPRINE,20,6700753.67
GENTAMICIN SULFATE,7858,6648081.87
NOVOFINE AUTOCOVER,3723,6613780.67
FLUVOXAMINE MALEATE,9611,6582737.17
VPRIV,12,6579192.58
PROCYSBI,8,6570001.24
CHLORHEXIDINE GLUCONATE,32197,6565603.77
KADIAN,287,6534451.88
FYCOMPA,393,6502961.31
ALREX,1072,6502058.73
UCERIS,284,6445389.41
THIOLA,69,6405560
BISOPROLOL-HYDROCHLOROTHIAZIDE,21483,6392396.78
LITHIUM CARBONATE ER,11925,6336979.46
PENTOXIFYLLINE,11318,6315946.16
APIDRA,851,6312778.62
LITHIUM CARBONATE,22312,6310077.4
GLATOPA,92,6285613.07
DUTASTERIDE,1565,6273077.1
KORLYM,20,6218343.1
NILANDRON,66,6196153.36
INVEGA TRINZA,74,6167203.14
VERAPAMIL HCL,12093,6136273.62
HYDROXYZINE PAMOATE,16445,6112545.18
FLUDROCORTISONE ACETATE,13984,6085907.84
OLOPATADINE HCL,1274,6079110.15
PIROXICAM,3572,6078159.84
BEPREVE,710,6031963.01
TIAGABINE HCL,896,5993683.12
ELIDEL,724,5958919.56
ZYPREXA RELPREVV,162,5956765.56
SOMATULINE DEPOT,78,5923985.52
LOPERAMIDE,12631,5922545.75
MERCAPTOPURINE,2515,5904382.71
EMEND,392,5887479.87
BROMOCRIPTINE MESYLATE,1599,5872544.77
ZELBORAF,56,5821732.6
NEURONTIN,807,5793582.18
ZYFLO CR,128,5780926.42
EDARBYCLOR,1541,5779584.09
SYMLINPEN 120,276,5760760.16
DEXAMETHASONE,15708,5714964.52
MOMETASONE FUROATE,9334,5695133.51
PROCTOSOL-HC,4985,5670499.09
THIOTHIXENE,3818,5647734.33
DICLOFENAC SODIUM-MISOPROSTOL,2253,5647008.58
ZAFIRLUKAST,3478,5641475.86
JUBLIA,541,5635212.93
BROMFENAC SODIUM,1096,5634706.54
EVISTA,1555,5633814.56
LEVETIRACETAM ER,2878,5590989.97
ZYKADIA,40,5563841.74
BROVANA,656,5536311.97
EDARBI,1599,5490385.66
PROZAC,655,5484817.17
HALOPERIDOL DECANOATE 100,2362,5456035.74
FERRIPROX,32,5430502.71
RIZATRIPTAN,7562,5415769.54
DEMECLOCYCLINE HCL,969,5391067.59
BACITRACIN,2363,5388746.61
RISPERDAL,502,5378756.82
RILUZOLE,591,5366340.96
MOXIFLOXACIN HCL,2450,5365103.8
ADACEL TDAP,3211,5328242.79
TRIFLUOPERAZINE HCL,3800,5270621.92
RAPAMUNE,238,5268113.27
EVOTAZ,176,5249841.58
ABSTRAL,24,5244201.49
SELEGILINE HCL,1910,5174812.9
TAZTIA XT,8558,5165425.19
ZEGERID,253,5165254.53
KETOPROFEN,574,5127191.19
BETAMETHASONE VALERATE,4555,5112309.6
DOXERCALCIFEROL,359,5089425.83
MYALEPT,6,5023542.64
SILVER SULFADIAZINE,7759,5018961.99
ZORTRESS,109,4967882.1
METHIMAZOLE,13946,4967561.71
VALCHLOR,43,4955398.76
INDAPAMIDE,12246,4916839.57
TASMAR,37,4879380.25
AMBIEN,818,4858836.19
DARAPRIM,46,4853473.41
CAPRELSA,31,4842955.89
LOTRONEX,148,4831285.86
FENTANYL CITRATE,161,4807000.37
GLYCOPYRROLATE,4406,4785188.7
EYLEA,66,4779046.84
OXAPROZIN,1716,4770159.93
CLORAZEPATE DIPOTASSIUM,9621,4761192.49
ISTALOL,894,4759696.68
BENLYSTA,87,4750276.5
FLUOCINOLONE ACETONIDE OIL,1234,4721276.07
NYAMYC,5164,4706176.11
MEDROXYPROGESTERONE ACETATE,11987,4671149.33
FINACEA,990,4654071.51
PALIPERIDONE ER,356,4631791.51
CABERGOLINE,1679,4629848.28
HEPARIN SODIUM,2562,4607590.45
MYFORTIC,264,4590879.5
OPDIVO,25,4532000.04
DIOVAN HCT,1329,4529823.45
PEG 3350-ELECTROLYTE,5929,4518250.99
COSOPT PF,1336,4516995.24
TESTIM,518,4512783.59
FLUPHENAZINE HCL,8629,4478624.37
GENOTROPIN,151,4476711.35
NAFTIN,462,4451691.89
FRAGMIN,152,4438271.63
MEROPENEM,1140,4432644
GAVILYTE-N,4180,4395517.59
BETOPTIC S,780,4390815.26
ZYVOX,92,4385925.97
SULFASALAZINE DR,2539,4373631.5
CEFPODOXIME PROXETIL,2234,4342484.81
AZASITE,890,4327292.23
DESIPRAMINE HCL,2899,4308336.61
LUNESTA,832,4301519.13
ITRACONAZOLE,491,4286351.2
SURE COMFORT,5743,4270901.92
CARBATROL,1145,4268836.4
GLYBURIDE-METFORMIN HCL,9143,4243909.02
HORIZANT,530,4235375.94
REGRANEX,176,4231093.44
EMSAM,216,4213709.38
DILTIAZEM 12HR ER,2584,4213536.93
ETODOLAC ER,1425,4160245.33
XALATAN,1380,4159123.06
HUMATROPE,127,4126492.8
UNIFINE PENTIPS,7324,4122986.45
IMIPRAMINE HCL,9862,4093010.42
MISOPROSTOL,3284,3996211.52
XANAX,861,3995918.46
CARIMUNE NF NANOFILTERED,32,3978674.62
SANDOSTATIN LAR,50,3966486.87
CYCLOSPORINE MODIFIED,1260,3959643.55
ALIMTA,44,3937567.01
SAIZEN,28,3936429.43
INVIRASE,230,3934041.01
NAPROXEN SODIUM,5027,3928098.69
PERFOROMIST,409,3923523.63
GABITRIL,425,3920968.66
MIRAPEX ER,393,3914881.28
TIMOPTIC OCUDOSE,418,3885981.79
ALCOHOL PADS,3814,3885637.75
AMBIEN CR,787,3881899.84
COSENTYX PEN (2 PENS),40,3879864.45
SODIUM CHLORIDE,6470,3867476.84
HYDROCODONE-IBUPROFEN,4853,3848530.04
DEXTROAMPHETAMINE SULFATE,1478,3819096.17
BIVIGAM,14,3777022.38
SANCUSO,153,3776177.66
OLANZAPINE-FLUOXETINE HCL,629,3772844.19
FUZEON,87,3761779.74
RAYOS,84,3756296.7
INTRALIPID,428,3723271.66
CEFEPIME HCL,1144,3697039.42
ADDERALL XR,694,3615625.64
DIHYDROERGOTAMINE MESYLATE,93,3605738.1
AXIRON,376,3561558.27
RISEDRONATE SODIUM DR,763,3558871.27
PICATO,244,3558213.93
ANAGRELIDE HCL,1383,3553409.92
MEGACE ES,220,3550419.55
SINGULAIR,1167,3546979.39
CARDIZEM CD,223,3518718.02
VIVITROL,148,3518024.32
PENICILLIN V POTASSIUM,15704,3511656.17
OXANDROLONE,211,3504161.52
E.E.S. 200,220,3492629.4
AURYXIA,193,3481650.35
OSENI,480,3477447.75
ANDRODERM,587,3443664.04
ARMOUR THYROID,5888,3432852.12
ORACEA,323,3395668.12
THIORIDAZINE HCL,4004,3381619.39
VIVELLE-DOT,1555,3372196.84
SANDOSTATIN LAR DEPOT,40,3371511.91
LOXAPINE,3132,3364661.4
RIBAVIRIN,748,3357145.47
FOSINOPRIL SODIUM,13002,3347500.15
TETRABENAZINE,28,3321849.21
TRIMETHOPRIM,6900,3319356.26
ALVESCO,533,3316823.62
NORVASC,1509,3273718.52
RUCONEST,3,3262024.04
KINERET,65,3250879.93
FLUVOXAMINE MALEATE ER,586,3190794.36
TRIAZOLAM,4447,3178036.95
VERAPAMIL ER PM,2705,3144679.76
COMETRIQ,20,3133585.6
ZAVESCA,10,3125058.72
VGO 40,491,3109469.87
NALTREXONE HCL,2750,3101114.33
ALDURAZYME,4,3090449.96
TEFLARO,124,3045754.46
OXAZEPAM,3167,3038258.03
LAMIVUDINE HBV,527,3036848.24
KLOR-CON 8,4864,3034457.31
MEXILETINE HCL,1483,3001290.7
ADEFOVIR DIPIVOXIL,258,2973046.89
LEVALBUTEROL HCL,1071,2951912.22
ULTICARE,3692,2928962.79
MIACALCIN,51,2910766.91
TYGACIL,138,2895263.49
OXTELLAR XR,299,2893035.98
RIBASPHERE RIBAPAK,142,2887419.55
SULINDAC,6349,2869821.17
PROCHLORPERAZINE MALEATE,14354,2861128.87
TRAVOPROST,900,2844284.84
GAVILYTE-G,4567,2829294.44
MINOXIDIL,7840,2826936.75
NPLATE,26,2816992.44
TIROSINT,1047,2792926.3
AUTOSHIELD DUO PEN NEEDLE,2112,2788626.92
LIDOCAINE HCL,7114,2775848.08
ZALEPLON,4903,2725290.92
OMNITROPE,125,2705067.56
LAZANDA,13,2681937.98
LAMICTAL ODT,254,2668679.63
ZYPREXA ZYDIS,172,2662557.47
FASLODEX,83,2661976.75
DANTROLENE SODIUM,1575,2654778.69
CERDELGA,6,2648323.38
PLEGRIDY,38,2633181.78
ELAPRASE,2,2626027.68
DESLORATADINE,3328,2621638.97
EXFORGE HCT,688,2618526.15
SPS,2004,2585419.02
OCTREOTIDE ACETATE,259,2579774.97
ZOHYDRO ER,298,2576351.32
LESCOL XL,656,2551976.96
TRIHEXYPHENIDYL HCL,9454,2550267.87
CYPROHEPTADINE HCL,3428,2541348.7
FAMCICLOVIR,2395,2535419.93
ZELAPAR,53,2533680.67
ZOLOFT,665,2524875.39
BUTALB-CAFF-ACETAMINOPH-CODEIN,1766,2522164.34
BUTORPHANOL TARTRATE,1487,2500330.91
NOVOFINE,3013,2496699.11
RIFAMPIN,2135,2490555.94
TEKTURNA HCT,956,2489253.04
DIBENZYLINE,18,2460410.25
CYCLOSET,274,2456700.36
PINDOLOL,1901,2451183.19
BELSOMRA,584,2450096.82
ARICEPT,394,2448363.68
ROXICODONE,119,2446059
NESINA,378,2425085.74
NEOMYCIN-POLYMYXIN-HYDROCORT,3997,2415537.75
CLINISOL,355,2413953.88
LASTACAFT,669,2409850.37
NORCO,436,2406436.97
KIONEX,1835,2354965.54
EPITOL,2736,2341946.64
QUINAPRIL-HYDROCHLOROTHIAZIDE,3405,2335208.47
FROVA,213,2333363.63
NITROGLYCERIN,635,2333067.12
ETHAMBUTOL HCL,1570,2332936.59
LANOXIN,1359,2332472.51
TRICOR,930,2329830.23
DICLOFENAC SODIUM ER,3964,2292757.92
TERBINAFINE HCL,10835,2283800.31
VALIUM,401,2266103.65
PAZEO,491,2255125.33
ERBITUX,14,2250090.71
ELELYSO,5,2247401.32
HYQVIA,27,2247318.83
AMRIX,148,2237689.2
ATOVAQUONE-PROGUANIL HCL,530,2236222.63
BUTALBITAL COMPOUND-CODEINE,977,2232606.52
PIPERACILLIN-TAZOBACTAM,667,2220290.98
LEUCOVORIN CALCIUM,1699,2212663.85
IMITREX,195,2212350.11
NUTROPIN AQ NUSPIN,58,2209710.64
LEVOCARNITINE,1366,2205739.53
VERAPAMIL SR,2972,2196826.89
LEUKERAN,300,2195619.4
CHOLESTYRAMINE LIGHT,1549,2190398.15
PEGASYS,41,2184097.07
MS CONTIN,135,2182794.86
TREXIMET,183,2182731.96
APLENZIN,74,2179466.19
FLUVASTATIN SODIUM,1030,2176501.42
GAMMAGARD S-D,21,2175207.84
TOBI PODHALER,18,2174841.96
ZOVIRAX,165,2174326.42
OXYTROL,345,2169029.58
APTIVUS,111,2162529.61
PERJETA,26,2154350.07
NEFAZODONE HCL,1553,2137172.7
GAVILYTE-C,2196,2124611.12
DAPSONE,2567,2117609.14
FORTAMET,64,2109712.13
QNASL,639,2105513.45
DEPAKOTE SPRINKLE,351,2102225.72
PANCREAZE,256,2096004.37
KYNAMRO,6,2077702.38
ENULOSE,3552,2076398.85
KERYDIN,108,2070961.29
POTIGA,141,2053483.8
LODOSYN,63,2050656.24
NEORAL,276,2031281.08
SIMCOR,549,2016406.99
LUCENTIS,28,2009322.82
PREPOPIK,693,2008601.01
EPOGEN,219,1994660.29
INDERAL LA,226,1992797.76
PROPYLTHIOURACIL,2085,1982599.51
VIRAMUNE XR,169,1965598.61
CLOBETASOL EMOLLIENT,654,1965178.29
ESTRADIOL-NORETHINDRONE ACETAT,932,1932907.56
ZOLINZA,17,1932031.38
PHENAZOPYRIDINE HCL,1846,1929340.21
CROMOLYN SODIUM,1518,1927809.46
PULMICORT,172,1923905.78
ZOCOR,513,1916012.73
DILAUDID,240,1890616.22
DIFLUNISAL,982,1884713.5
DETROL LA,532,1874496.44
TRANYLCYPROMINE SULFATE,425,1869998.72
SODIUM POLYSTYRENE SULFONATE,1088,1867486.02
OPIUM TINCTURE,202,1858495.39
INTRON A,76,1850533.65
LEVOXYL,2469,1847124.7
LEVORPHANOL TARTRATE,76,1844032.1
DIFLORASONE DIACETATE,231,1837590.65
THEO-24,1024,1833487.41
ZOMIG,179,1822420.18
ABRAXANE,22,1821213.14
ALOXI,58,1817747.91
MICARDIS,702,1807928.8
ERYPED 200,121,1803771.4
BUTALBITAL-ASPIRIN-CAFFEINE,1645,1801065.05
NAMZARIC,342,1793825.77
SYLATRON,17,1760902.65
PRANDIN,184,1749306.17
PERPHENAZINE-AMITRIPTYLINE,1674,1742096.86
FLUNISOLIDE,1588,1738425.15
NEOMYCIN-POLYMYXIN-HC,2523,1722549.96
NEVIRAPINE,1095,1702556.2
TERBUTALINE SULFATE,411,1695125.46
REMODULIN,6,1690321.5
LEVOBUNOLOL HCL,2688,1685976.47
LEVEMIR FLEXPEN,286,1678105.64
PLAQUENIL,276,1678027.91
SUMAVEL DOSEPRO,79,1677067.17
PREVALITE,1130,1672650.86
VGO 30,298,1646567.01
VGO 20,274,1646205.8
EASY TOUCH PEN NEEDLE,3063,1625691.14
KEYTRUDA,9,1625187.1
DEXEDRINE,77,1625027.18
MINIVELLE,680,1624317.66
PRED FORTE,269,1615216.2
BETIMOL,704,1614135.12
TRIZIVIR,73,1614043.05
ENALAPRIL-HYDROCHLOROTHIAZIDE,6598,1600900.67
CEFPROZIL,1400,1585863.47
DEXTROSE IN WATER,1134,1585162.16
CARAC,43,1581215.58
CYCLOPHOSPHAMIDE,173,1575796.36
GELNIQUE,322,1569970.12
ZOLEDRONIC ACID,154,1567339.4
AMILORIDE HCL,2233,1561809.28
MOVANTIK,366,1554548.96
MILRINONE LACTATE,57,1548292.36
TERCONAZOLE,2086,1534009.16
MATZIM LA,1186,1528238.39
TENORMIN,372,1524749.89
PENTAZOCINE-NALOXONE HCL,513,1523634.86
MYCAMINE,70,1510781.14
DOCETAXEL,47,1510514.97
SALSALATE,521,1508231.93
NICOTROL,323,1497607.65
ACTIQ,7,1495322.12
SSD,3161,1488567.28
COZAAR,800,1475197.02
CEFADROXIL,4524,1472837.86
PAXIL,460,1470459.62
KRISTALOSE,267,1470320.53
EPINASTINE HCL,796,1462039.03
GENERLAC,4069,1461219.2
CYCLOSPORINE,275,1454359.58
OXALIPLATIN,46,1453891.82
SIMPONI ARIA,15,1453020.29
NIASPAN,382,1452700.57
ALBENZA,13,1446848.19
NARATRIPTAN HCL,1163,1440741.29
BUPHENYL,10,1439668.91
SPORANOX,46,1437723.28
PROBENECID,2502,1428414.01
DENAVIR,117,1422768.07
VIMIZIM,1,1416815.2
LOTREL,451,1415155.26
ILARIS,5,1409580.26
NICOTROL NS,218,1399037.1
SUMATRIPTAN,334,1397063.47
METOPROLOL-HYDROCHLOROTHIAZIDE,1839,1390479.47
ORPHENADRINE CITRATE,2173,1379019.8
DYRENIUM,355,1377155.74
POLYMYXIN B SUL-TRIMETHOPRIM,2953,1369081.8
COSOPT,383,1363569.26
ISOSORBIDE MONONITRATE,5762,1355480.18
HYSINGLA ER,193,1351902.53
FEMARA,139,1351015.47
REXULTI,91,1348426.36
MICARDIS HCT,500,1340090.62
ACAMPROSATE CALCIUM,587,1339886.6
ZYMAXID,163,1321815.31
THEOPHYLLINE,1410,1316350.98
ZYLET,222,1296311.2
STIOLTO RESPIMAT,202,1292107.42
EQUETRO,251,1287128.47
DIPENTUM,81,1284725.74
MESALAMINE,286,1277437.85
MONUROL,353,1268927.76
TRANDOLAPRIL,3854,1265061.48
AVAPRO,569,1262549.95
ZOLMITRIPTAN,715,1261232.07
ALINIA,62,1259742.81
ZIRGAN,242,1253140.76
CANDESARTAN-HYDROCHLOROTHIAZID,884,1245158.83
CIMETIDINE,2737,1245144.13
ALCLOMETASONE DIPROPIONATE,673,1221078.76
COMBIVIR,98,1219469.7
VICODIN ES,593,1218671.69
CAMBIA,130,1216263.38
MEPRON,50,1214602.88
TOBRAMYCIN,3283,1209860.28
DONEPEZIL HCL ODT,1739,1207038.2
ERY-TAB,260,1205114.28
RYTHMOL SR,144,1203330.44
ESTAZOLAM,1223,1195650.3
RIFABUTIN,134,1193979.7
ADAGEN,1,1193561.76
BETAXOLOL HCL,818,1192043.82
DIDANOSINE,328,1184002.07
MEPROBAMATE,369,1181101.01
VERSACLOZ,33,1172584.38
CYRAMZA,11,1172355.55
HYDROCORTISONE BUTYRATE,434,1170487.23
PIOGLITAZONE-GLIMEPIRIDE,202,1166479.4
ERYPED 400,61,1163520.44
CALCIPOTRIENE-BETAMETHASONE DP,92,1158861.24
CLIMARA,620,1153922.43
ARCAPTA NEOHALER,258,1152266.58
TYVASO,6,1147982.63
PEG-3350 AND ELECTROLYTES,2801,1146471.26
TACLONEX,65,1146430.1
ZORVOLEX,282,1144145.27
VASOTEC,101,1124822.89
ETHOSUXIMIDE,571,1118601.14
PROBENECID-COLCHICINE,1456,1107010.91
GENGRAF,285,1106269.48
COLISTIMETHATE,97,1102077.1
WELLBUTRIN SR,255,1101560.8
ASCOMP WITH CODEINE,545,1098703.02
COREG,367,1098584.64
FORTICAL,929,1091844.27
COMBIPATCH,500,1090961.11
ARIMIDEX,147,1088810.63
ACTOS,175,1087467.44
METHYLPHENIDATE LA,443,1086699.61
ACEBUTOLOL HCL,3093,1081686.33
OTREXUP,98,1080090
UROXATRAL,138,1078710.74
MIGRANAL,25,1074282.59
PRAMIPEXOLE ER,128,1065430.43
FLEBOGAMMA DIF,15,1065004.51
TREANDA,9,1064190.22
DIFICID,21,1063450.3
VALTREX,185,1063155.29
HYZAAR,511,1055546.23
ERYTHROCIN STEARATE,165,1051773.21
INCRUSE ELLIPTA,223,1045513.79
NAFCILLIN SODIUM,104,1044518.31
NORETHINDRONE ACETATE,959,1042167.23
QUININE SULFATE,395,1039944.13
IMIPRAMINE PAMOATE,246,1024453.05
AZACITIDINE,15,1023201.95
CYSTADANE,29,1019367.16
ZUBSOLV,170,1018279.65
KLOR-CON,360,1016971.36
MOEXIPRIL HCL,1671,1013398.81
RIBASPHERE,318,1012225.06
MOXEZA,140,1011393.79
ARESTIN,19,1008265.78
QUINIDINE GLUCONATE,175,1001568.31
NICARDIPINE HCL,397,1000697.4
OXISTAT,102,986889.15
CANCIDAS,19,980590.16
FLUOCINONIDE-E,400,974786.71
DEPAKENE,100,972798.95
EASY COMFORT PEN NEEDLES,903,970342.46
METHSCOPOLAMINE BROMIDE,361,965986.39
INDOMETHACIN,3001,963485.53
LACRISERT,124,954187.86
ALPRAZOLAM ER,1747,946159.05
GUANFACINE HCL ER,356,943140.88
METHYLERGONOVINE MALEATE,25,932370.28
FARESTON,51,928274.88
ADVICOR,253,921404.49
VICODIN,689,920113.91
PRILOSEC,178,919236.63
CHLORZOXAZONE,1615,918937.21
HUMIRA PEN PSORIASIS,11,917754.31
FARYDAK,9,914815.14
CLARITHROMYCIN ER,601,909779.33
KAZANO,150,909663.33
MAXALT,105,909404.21
ANTARA,127,897398.09
EVZIO,58,897363.45
ADDERALL,163,884081.81
DANAZOL,241,878509.91
KADCYLA,8,876567.9
DEMSER,3,872702.02
REQUIP XL,136,872417.6
RIDAURA,45,870425.37
PAXIL CR,326,869676.32
VERAMYST,343,866281.42
VICODIN HP,278,857107.99
IMIPENEM-CILASTATIN SODIUM,264,855656.73
LINEZOLID,48,855361.49
PULMOZYME,16,843903.39
SANDOSTATIN,10,832412.92
SODIUM BICARBONATE,678,831306.49
ZESTRIL,228,829211.1
ULTRAM,193,828913.42
PEN NEEDLE,2760,827746.61
BUPRENEX,23,825013.29
TAZORAC,104,819297.64
GLYSET,236,813456.65
ARIXTRA,16,811082.83
SOTALOL AF,1983,807114.76
CAPTOPRIL-HYDROCHLOROTHIAZIDE,656,805121.97
CONCERTA,175,802175.78
CORDRAN,114,799878.57
ENTYVIO,12,799802.92
SOLARAZE,21,794336.48
ZYCLARA,38,793944.33
NITRO-DUR,388,792092.72
GEMCITABINE HCL,50,787709.92
CATAPRES-TTS 3,131,786643.91
SYMLINPEN 60,69,783353
MIRAPEX,147,782928.29
ATACAND,469,778595.51
DEXAMETHASONE SODIUM PHOSPHATE,1167,772100.88
ENTOCORT EC,37,770741.83
COMFORT EZ,756,769561.8
CEFAZOLIN SODIUM,643,765418.69
ZIPSOR,92,764516.07
HALOPERIDOL LACTATE,1341,759424.76
STAXYN,75,757749.91
PEXEVA,127,756069.61
ISRADIPINE,519,750609.75
PROMETHEGAN,207,750399.19
DEPEN,16,745154.83
HYDROCORTISONE-ACETIC ACID,364,730756.18
AROMASIN,75,730148.86
PHENYTEK,747,729464.67
AMILORIDE-HYDROCHLOROTHIAZIDE,2321,723457.81
SIGNIFOR,5,722503.99
STALEVO 100,76,717420.27
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713142.81
PROTRIPTYLINE HCL,298,710469.9
TOBRAMYCIN SULFATE,264,707416.31
GLUCOPHAGE,458,705168.93
DISOPYRAMIDE PHOSPHATE,643,703404.52
FULYZAQ,74,702916.91
PEN NEEDLES,1390,702435.56
ENTRESTO,94,699673.54
PATANASE,151,697804.8
METHYLPHENIDATE HCL CD,260,697437.68
SUCRAID,6,695238.09
CELEXA,222,695198.69
BONIVA,190,692061.87
CLINDAMYCIN-BENZOYL PEROXIDE,148,691976.68
CYTOMEL,482,691413.73
SYNRIBO,8,689686.7
LEVITRA,167,688157.47
MONOJECT INSULIN SYRINGE,1010,686242.02
NOVOTWIST,749,683598.8
ZOSYN,148,682037.26
FIORINAL WITH CODEINE #3,61,680858.8
NALBUPHINE HCL,131,680599.85
DESVENLAFAXINE ER,252,679777.81
ALOSETRON HCL,31,677307.26
VECTIBIX,7,670989.48
ANADROL-50,10,670120.04
ATROPINE SULFATE,1196,669342.64
